id,usuario_id,descripcion,valor,categoria
215,32,reparacion de cerradura,654.99,Vivienda
216,998,repqracion electrica,786.76,Vivienda
217,1987,plazo fijo,739.96,Ahorros
218,2810,pago de reparacion de cerradura,264.57,Vivienda
219,569,pago tarjeta de credito,370.7,Deudas
220,2358,compra dolares banco,472.81,Ahorros
221,1396,cuota universidad,114.85,Educacion
222,1680,juegos de consola,27.42,Ocio
223,830,estudios clinicos,133.21,Salud
224,1620,cuota jardin de infantes,114.22,Educacion
225,1080,mqtricula del colegio,306.34,Educacion
226,791,peaje autopista,59.94,Transporte
227,2512,cerveceria artesanal,113.76,Ocio
228,2726,movimiwnto: fondo comun de inversion,156.23,Ahorros
229,2718,abono telefonia movil,85.03,Servicios
230,2746,pago de intereses,718.74,Deudas
231,994,combustible ypf,35.69,Transporte
232,78,compra dolares banco,909.41,Ahorros
233,2582,compra farmacia,181.84,Salud
234,108,cuota jardin de infantes,673.22,Educacion
235,1297,factura gas metrogas,33.78,Servicios
236,2812,servicio de plomeria,221.67,Vivienda
237,2063,pago de impuestos municipales,141.13,Servicios
238,370,pqgo de intereses,653.82,Deudas
239,2253,tqrjeta expensas del edificio,779.53,Vivienda
240,2005,matricula del colegio,541.2,Educacion
241,1704,fac estudios clinicos,52.42,Salud
242,2913,tarjeta matricula del colegio,701.46,Educacion
243,441,movimiento: cuota prestamo banco,382.09,Deudas
244,2907,compra farmacia,175.93,Salud
245,227,utiles escolares,704.89,Educacion
246,2576,almacen san martin,391.49,Alimentacion
247,2402,viaje uber,12.95,Transporte
248,623,cuota prepaga osde,154.53,Salud
249,1025,tarjeta compras fiambreria,123.81,Alimentacion
250,1577,compra dolares banco,774.44,Ahorros
251,2975,fondo comun de inversion,937.28,Ahorros
252,1644,matricula del colegio,398.32,Educacion
253,1185,compra compra ferreteria,496.68,Vivienda
254,161,cuotq universidad,533.83,Educacion
255,871,reparacion electrica,1091.23,Vivienda
256,1746,compra libros de texto,452.13,Educacion
257,1175,factura gas metrogas,174.22,Servicios
258,444,cuota prestamo auto,331.47,Deudas
259,1791,combustible shell,61.24,Transporte
260,1495,compra pintura habitacion,833.85,Vivienda
261,463,pago tarjeta de credito,868.08,Deudas
262,473,compra servicio de agua aysa,63.69,Servicios
263,2605,plazo fijo,963.18,Ahorros
264,80,curso de programacion,272.83,Educacion
265,1063,cenq restaurante,95.11,Alimentacion
266,240,pago tarjeta de credito,322.05,Deudas
267,557,compra utiles escolares,767.37,Educacion
268,590,fondo comun de inversion,304.34,Ahorros
269,1361,tarjeta pintura habitacion,1066.29,Vivienda
270,1885,pago tarjeta de credito,817.66,Deudas
271,1976,medicamentos recetados,352.5,Salud
272,1304,movimiento: curso de programacion,690.0,Educacion
273,1140,cuota prestamo banco,651.43,Deudas
274,2317,impuestos municipales,175.43,Servicios
275,1940,compra carniceria central,102.55,Salud
276,335,pago de expensas del edificio,1055.82,Vivienda
277,312,compra peaje autopista,64.29,Transporte
278,1077,viaje uber,76.7,Transporte
279,2742,factura gas metrogas,154.25,Servicios
280,34,cuota prepaga osde,89.03,Salud
281,1842,consulta medica de control,204.25,Salud
282,386,compra cafeteria,97.12,Ocio
283,249,cena restaurante,78.27,Ocio
284,1135,almacen san martin,213.9,Alimentacion
285,1434,almacen san martin,241.18,Alimentacion
286,1203,salida al cine,84.18,Ocio
287,794,factura gas metrogas,173.07,Servicios
288,852,comprq plazo fijo,616.26,Ahorros
289,2922,reparacion de cerradura,1041.53,Vivienda
290,376,juegos de consola,32.75,Ocio
291,724,cuota prepaga osde,285.84,Salud
292,1611,reparacion electrica,719.06,Vivienda
293,1914,compra dolares banco,237.7,Deudas
294,202,compra supermercado dia,215.91,Alimentacion
295,2493,matricula del colegio,703.66,Educacion
296,1943,servicio de agua aysa,139.92,Servicios
297,2345,movimiento: cuota prepaga osde,109.0,Salud
298,1332,combustible shell,79.77,Transporte
299,493,viaje uber,14.18,Transporte
300,338,compra panaderia,347.55,Transporte
301,1969,matricula del colegio,362.48,Educacion
302,2971,optica lentes,382.3,Educacion
303,1866,fac abono telefonia movil,46.64,Servicios
304,792,supermercado coto,388.19,Alimentacion
305,1517,compra dolares banco,1220.54,Ahorros
306,2023,fac peaje autopista,54.39,Transporte
307,2365,cuota prestamo auto,912.89,Deudas
308,942,reparacion electrica,262.29,Vivienda
309,2674,cerveceria artesanal,71.66,Ocio
310,2123,inversion en acciones,952.39,Ahorros
311,2987,tarjeta factura luz edesur,109.53,Servicios
312,59,cuota prestamo auto,595.62,Deudas
313,2434,pago de abono telefonia movil,167.35,Servicios
314,2063,combustible ypf,33.52,Transporte
315,1255,pago de compra dolares banco,804.32,Ahorros
316,2247,verduleriq y fruteria,301.1,Alimentacion
317,1378,peaje autopista,35.47,Transporte
318,35,analisis de sangre,96.77,Salud
319,162,cuota prepaga osde,195.05,Salud
320,2847,compra reparacion electrica,856.48,Vivienda
321,895,matricula del colegio,620.2,Educacion
322,471,entradas recital,70.99,Ocio
323,2579,cqrniceria central,326.11,Alimentacion
324,2840,cuota prestamo auto,753.0,Deudas
325,2900,suscripcion netflix,115.73,Ocio
326,1447,compra dolares banco,1169.56,Ahorros
327,348,cuota jardin de infantes,304.95,Educacion
328,694,servicio de qgua aysa,98.24,Servicios
329,935,repqracion de cerradura,717.02,Ahorros
330,913,cerveceria artesanal,148.32,Ocio
331,147,movimiento: entradas recital,50.85,Ocio
332,1712,movimiento: expensas del edificio,630.78,Salud
333,675,juegos de consola,36.46,Ocio
334,1440,tarjeta pago de intereses,997.84,Deudas
335,2735,cuota jardin de infantes,733.28,Educacion
336,1518,combustible shell,68.47,Transporte
337,1280,plazo fijo,644.25,Ahorros
338,686,reparacion electrica,770.95,Vivienda
339,1127,servicio de plomeria,738.48,Vivienda
340,121,abono internet fibertel,102.63,Deudas
341,2467,cerveceria artesanal,141.61,Ocio
342,2398,pintura habitacion,842.98,Vivienda
343,42,fac entradas recital,21.24,Ocio
344,29,consulta medica de control,388.49,Salud
345,966,tarjeta factura luz edesur,167.04,Servicios
346,1916,cerveceria artesanal,37.74,Ocio
347,2833,consulta medica de control,239.43,Deudas
348,2001,compra panaderia,309.57,Alimentacion
349,2062,compra libros de texto,457.58,Educacion
350,920,tarjeta carga sube,34.63,Transporte
351,818,pago de servicio de agua aysa,55.62,Servicios
352,2873,impuestos municipales,59.1,Servicios
353,1509,pintura habitacion,280.73,Alimentacion
354,1213,movimiento: cerveceria artesanal,31.14,Ocio
355,872,compra supermercado dia,335.84,Vivienda
356,295,combustible ypf,57.9,Transporte
357,864,juegos de consola,41.3,Ocio
358,2596,peaje autopista,53.63,Transporte
359,1038,pqgo alquiler mensual,698.85,Vivienda
360,2683,compra ferreteria,834.91,Vivienda
361,595,transferencia ahorro mensual,1088.87,Ahorros
362,1183,movimiento: abono internet fibertel,177.26,Ocio
363,1518,impuestos municipales,104.85,Servicios
364,1353,supermercado carrefour,342.94,Alimentacion
365,614,curso de programacion,236.81,Educacion
366,1873,consulta medica de control,97.6,Salud
367,1604,dentistq limpieza,193.31,Ahorros
368,1584,juegos de consola,114.68,Ocio
369,1593,expensas comunes,835.13,Vivienda
370,1156,pago saldo refinanciado,396.38,Deudas
371,465,pago de reparacion electrica,614.25,Vivienda
372,1480,pago saldo refinanciado,496.67,Educacion
373,2978,expensas comunes,1072.06,Vivienda
374,1291,dentista limpieza,378.9,Salud
375,2847,taller de ingles,573.66,Educacion
376,2443,matricula del colegio,225.99,Educacion
377,2294,compras fiambreria,399.73,Alimentacion
378,568,cuota prestamo auto,469.38,Deudas
379,38,pago de intereses,504.03,Deudas
380,245,pago saldo refinanciado,889.96,Deudas
381,21,servicio de plomeria,968.19,Vivienda
382,1134,compra dolares banco,351.52,Ahorros
383,1630,compra farmacia,130.05,Salud
384,394,abono internet fibertel,63.3,Servicios
385,1434,juegos de consola,63.33,Ocio
386,987,compra dolares banco,841.53,Ahorros
387,1672,repqracion de cerradura,591.02,Vivienda
388,2056,servicio de plomeriq,910.34,Vivienda
389,2376,compra cafeteria,133.5,Ocio
390,1911,pago saldo refinanciado,317.56,Deudas
391,290,consulta medica de control,256.59,Salud
392,1787,cuota prestamo banco,258.33,Deudas
393,2559,pago de intereses,248.2,Deudas
394,912,factura gas metrogas,60.3,Deudas
395,361,factura gas metrogas,197.19,Salud
396,1623,utiles escolares,797.75,Educacion
397,2764,pago de combustible shell,33.6,Salud
398,219,colectivo linea 60,59.32,Servicios
399,2454,cuota prestamo auto,810.08,Deudas
400,2016,cenq restaurante,32.44,Ocio
401,2041,pago saldo refinanciado,546.08,Deudas
402,2045,analisis de sangre,345.9,Salud
403,2801,compra supermercado dia,322.63,Alimentacion
404,2971,suscripcion spotify,56.25,Ocio
405,832,viaje uber,52.73,Servicios
406,1794,plazo fijo,1486.48,Ahorros
407,1792,taller de ingles,155.97,Educacion
408,2842,compra compra libros de texto,292.66,Educacion
409,1244,pago de cuota prestamo auto,807.18,Deudas
410,595,movimiento: suscripcion netflix,105.46,Ocio
411,2155,estudios clinicos,63.88,Educacion
412,581,compra dolares banco,609.45,Ahorros
413,2657,expensas comunes,341.57,Vivienda
414,1748,pago de pago alquiler mensual,584.69,Vivienda
415,2056,viaje cabify,34.05,Transporte
416,2854,compra farmacia,85.39,Salud
417,2237,expensas comunes,986.48,Vivienda
418,81,pago de abono telefonia movil,69.15,Servicios
419,2156,movimiento: estudios clinicos,289.01,Salud
420,1345,pago saldo refinanciado,462.0,Ahorros
421,1603,pago de cuota prestamo auto,229.94,Deudas
422,2734,viaje cabify,15.11,Educacion
423,346,tarjeta servicio de plomeria,501.87,Vivienda
424,1887,movimiento: cuota prestamo banco,395.82,Ocio
425,2376,fac compras fiambreria,365.73,Alimentacion
426,555,verduleria de la esquina,169.15,Alimentacion
427,302,compra ferreteria,268.25,Vivienda
428,200,taxis de la ciudad,69.7,Transporte
429,2941,fac supermercado coto,249.21,Alimentacion
430,1063,pago saldo refinanciado,743.97,Deudas
431,307,taxis de la ciudad,26.26,Transporte
432,1657,expensas comunes,650.31,Vivienda
433,1872,dentista limpieza,190.24,Salud
434,2516,cqrga sube,61.73,Transporte
435,2227,cuota prestamo auto,687.24,Deudas
436,2693,medicamentos recetados,297.86,Salud
437,1847,compra dolares banco,1224.61,Ahorros
438,1765,compra libros de texto,339.28,Educacion
439,276,plazo fijo,438.72,Ahorros
440,1176,estudios clinicos,405.19,Salud
441,1402,compra libros de texto,739.49,Educacion
442,2669,suscripcion spotify,102.67,Ocio
443,638,inversion en acciones,1161.66,Ahorros
444,1776,pqgo tarjeta de credito,310.62,Deudas
445,930,viaje cabify,77.1,Transporte
446,1881,carga sube,68.9,Deudas
447,183,cuota universidad,670.1,Educacion
448,1845,utiles escolares,579.09,Educacion
449,72,utiles escolares,211.42,Educacion
450,2767,servicio de plomeriq,637.35,Vivienda
451,1677,cuota prestamo auto,838.72,Deudas
452,1296,taller de ingles,375.0,Educacion
453,2774,compra panaderia,162.18,Alimentacion
454,2317,comprq libros de texto,146.85,Educacion
455,1044,supermercado coto,123.78,Alimentacion
456,2626,pintura habitacion,931.14,Vivienda
457,815,verduleria de la esquina,102.21,Alimentacion
458,1527,entradas recital,100.79,Ocio
459,2195,cena restaurante,80.76,Ocio
460,2938,movimiento: supermercado coto,370.0,Alimentacion
461,310,cuota prestamo auto,408.21,Deudas
462,2566,expensas del edificio,877.61,Vivienda
463,2062,peaje autopista,37.73,Transporte
464,132,pago de almacen san martin,59.01,Alimentacion
465,1878,optica lentes,454.74,Salud
466,2803,factura luz edesur,134.01,Servicios
467,2487,cuota prestamo banco,326.98,Deudas
468,2791,taller de ingles,250.77,Educacion
469,740,abono internet fibertel,35.19,Servicios
470,795,peaje autopista,76.61,Transporte
471,2311,expensqs del edificio,214.81,Vivienda
472,2691,entradas recital,124.82,Ocio
473,258,taller de ingles,138.96,Educacion
474,1258,salida al cine,138.57,Ocio
475,2457,movimiento: viaje uber,70.0,Transporte
476,1852,factura luz edesur,63.22,Servicios
477,975,pago saldo refinanciado,787.74,Deudas
478,1048,comprq transferencia ahorro mensual,1218.01,Ahorros
479,271,cerveceriq artesanal,30.25,Ocio
480,1119,impuestos municipales,47.36,Servicios
481,142,compra panaderia,209.43,Alimentacion
482,902,inversion en acciones,1104.36,Ahorros
483,274,suscripcion spotify,128.86,Ocio
484,2324,servicio de plomeria,449.32,Vivienda
485,465,fondo comun de inversion,970.33,Ahorros
486,1232,carniceria central,214.31,Alimentacion
487,1320,colectivo linea 60,36.88,Transporte
488,288,dentista limpieza,83.63,Salud
489,876,supermercado coto,251.47,Alimentacion
490,1993,colectivo linea 60,76.01,Transporte
491,2926,peaje autopista,38.77,Transporte
492,2228,abono internet fibertel,166.05,Servicios
493,1121,movimiento: sqlida al cine,124.28,Ocio
494,1215,plazo fijo,1100.44,Ahorros
495,447,utiles escolares,560.17,Educacion
496,2833,transferencia ahorro mensual,1084.11,Ahorros
497,2609,compra dolares banco,1174.51,Ahorros
498,2532,combustible ypf,68.42,Transporte
499,2897,compra dolares banco,1071.5,Ahorros
500,722,medicamentos recetados,289.63,Salud
501,2164,medicamentos recetados,453.4,Salud
502,2583,trqnsferencia ahorro mensual,931.58,Ahorros
503,1352,pago de abono internet fibertel,175.51,Servicios
504,407,pago tarjeta de credito,268.25,Deudas
505,1726,impuestos municipales,127.49,Servicios
506,694,inversion en acciones,922.41,Ahorros
507,495,pago tarjeta de credito,563.89,Deudas
508,948,expensas comunes,495.89,Vivienda
509,23,colectivo linea 60,13.93,Transporte
510,1129,matricula del colegio,468.29,Ahorros
511,1699,combustible ypf,39.29,Transporte
512,558,expensas comunes,373.05,Vivienda
513,1617,carga sube,78.86,Transporte
514,941,compra libros de texto,200.51,Educacion
515,1246,fac entradas recital,147.97,Ocio
516,2903,compras fiambreria,336.82,Alimentacion
517,2939,pqgo de intereses,561.15,Deudas
518,1657,colectivo linea 60,61.32,Transporte
519,78,movimiento: compra libros de texto,762.13,Educacion
520,1346,pago saldo refinanciado,269.9,Deudas
521,807,curso de programacion,480.35,Educacion
522,1042,opticq lentes,167.5,Salud
523,768,suscripcion netflix,126.28,Ocio
524,454,pago de compra supermercado dia,202.33,Alimentacion
525,2976,compra supermercado dia,253.25,Alimentacion
526,2325,pago saldo refinanciado,371.67,Deudas
527,1448,pago de abono telefonia movil,35.38,Servicios
528,1500,optica lentes,482.16,Salud
529,1051,pago de pago saldo refinanciado,805.63,Deudas
530,2562,cuota prestamo auto,618.0,Deudas
531,1889,verduleria y fruteria,368.23,Alimentacion
532,2512,factura luz edesur,122.83,Servicios
533,2855,combustible shell,14.73,Transporte
534,2872,pago de colectivo linea 60,27.53,Transporte
535,363,carga sube,60.19,Transporte
536,2799,utiles escolares,759.01,Educacion
537,525,factura gas metrogas,34.76,Servicios
538,1218,compra ferreteria,549.17,Vivienda
539,1486,pago alquiler mensual,688.91,Vivienda
540,2104,movimiento: plazo fijo,1302.27,Ahorros
541,1254,inversion en acciones,743.21,Ahorros
542,2537,impuestos municipales,36.95,Servicios
543,1856,movimiento: compra ferreteria,855.92,Transporte
544,722,fac cuota prestamo banco,605.5,Deudas
545,1984,medicamentos recetados,477.29,Deudas
546,1208,medicamentos recetados,226.05,Salud
547,1449,impuestos municipales,33.4,Servicios
548,1399,transferencia ahorro mensual,1397.37,Ahorros
549,2089,tarjeta pago alquiler mensual,1105.4,Vivienda
550,1508,pintura habitacion,833.58,Vivienda
551,1004,verduleria y fruteria,380.71,Vivienda
552,2308,compras fiambreria,343.33,Alimentacion
553,2489,dentista limpieza,352.21,Salud
554,926,impuestos municipales,30.94,Servicios
555,856,fondo comun de inversion,1193.56,Ahorros
556,84,pintura habitacion,471.53,Vivienda
557,2094,comprq taxis de la ciudad,30.67,Transporte
558,2488,entradas recital,41.14,Ocio
559,1543,suscripcion netflix,69.44,Ocio
560,986,fondo comun de inversion,1371.61,Ahorros
561,1869,reparacion electrica,743.54,Servicios
562,136,pago tarjeta de credito,584.67,Deudas
563,1207,analisis de sangre,245.21,Salud
564,1733,viaje cabify,70.17,Educacion
565,1196,plazo fijo,362.56,Ahorros
566,909,cena restaurante,52.47,Ocio
567,2909,pago tarjeta de credito,778.86,Vivienda
568,2836,compra dolares banco,168.65,Ahorros
569,590,supermercqdo carrefour,327.28,Alimentacion
570,1952,carniceria central,55.93,Alimentacion
571,956,curso de programacion,462.71,Educacion
572,2738,fondo comun de inversion,1452.98,Ahorros
573,2587,fac abono telefonia movil,147.18,Servicios
574,1144,abono telefonia movil,52.0,Servicios
575,1332,tarjeta combustible shell,19.06,Transporte
576,2756,estudios clinicos,494.9,Salud
577,1554,compra ferreteria,1058.81,Vivienda
578,2343,cqrga sube,38.52,Transporte
579,1807,fqc inversion en acciones,1257.28,Ahorros
580,2101,matricula del colegio,593.49,Ahorros
581,806,factura luz edesur,125.11,Servicios
582,1456,tarjeta inversion en acciones,1412.49,Ahorros
583,52,curso de programacion,198.17,Vivienda
584,2776,juegos de consola,58.61,Ocio
585,72,expensas comunes,595.84,Vivienda
586,28,cuota prestamo banco,463.52,Deudas
587,469,almacen san martin,192.63,Alimentacion
588,764,carniceria central,93.9,Alimentacion
589,2934,curso de programacion,129.78,Educacion
590,2960,plazo fijo,708.22,Ahorros
591,2595,tarjeta colectivo linea 60,64.26,Transporte
592,1425,consulta medica de control,183.02,Salud
593,2249,cuotq prestamo auto,300.41,Deudas
594,820,pqgo de curso de programacion,450.68,Educacion
595,1490,fac dentista limpieza,381.78,Salud
596,1676,suscripcion nwtflix,104.07,Ocio
597,560,juegos de consola,101.32,Ocio
598,379,utiles escolares,770.1,Educacion
599,1919,curso de progrqmacion,174.2,Educacion
600,1076,compra cafeteria,70.5,Ocio
601,79,pago de combustible shell,45.34,Transporte
602,1409,compra cafeteria,69.02,Ocio
603,834,carga sube,69.93,Transporte
604,1032,wstudios clinicos,467.83,Salud
605,2073,viaje uber,43.74,Transporte
